,"CSF1PO","CSF1PO","CSF1PO","FGA","FGA","FGA","TH01","TH01","TH01","TPOX","TPOX","TPOX","VWA","VWA","VWA","D3S1358","D3S1358","D3S1358","D5S818","D5S818","D5S818","D7S820","D7S820","D7S820","D8S1179","D8S1179","D8S1179","D13S317","D13S317","D13S317","D16S539","D16S539","D16S539","D18S51","D18S51","D18S51","D21S11","D21S11","D21S11","D2S1338","D2S1338","D2S1338","D19S433","D19S433","D19S433",
"Allele","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","Allele"
21,,,,0.18543,0.11628,0.16786,,,,,,,0.00166,0.00388,0.00357,,,,,,,,,,,,,,,,,,,0.00828,0.00973,0.01071,,,,0.04139,0.14397,0.03571,,,,21
21.2,,,,0.00497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00195,,,,,,,,,,,21.2
22,,,,0.21854,0.19574,0.15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00828,0.00584,0.01429,,,,0.03808,0.13035,0.06071,,,,22
22.2,,,,0.01159,0.00388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2
22.3,,,,,0.00194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3
23,,,,0.13411,0.17054,0.13571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00195,,,,,0.11755,0.11089,0.09643,,,,23
23.2,,,,0.00331,0.00194,0.00357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2
24,,,,0.13576,0.12209,0.15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00195,,,,,0.12252,0.07977,0.07143,,,,24
24.2,,,,0.00166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00357,,,,,,,24.2
25,,,,0.07119,0.12403,0.12143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09272,0.07198,0.07500,,,,25
25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00166,,,,,,,,,25.2
26,,,,0.02318,0.08140,0.05357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00194,,0.02980,0.01167,0.01429,,,,26
27,,,,0.00331,0.02326,0.04286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02649,0.07752,0.03571,0.00166,0.00389,,,,,27
28,,,,,0.01163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15894,0.25775,0.09643,,,,,,,28
29,,,,,0.00388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19536,0.19767,0.20000,,,,,,,29
29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00331,,0.00357,,,,,,,29.2
30,,,,,0.00194,0.00357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27815,0.17442,0.26071,,,,,,,30
30.2,,,,,0.00194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02815,0.00969,0.03929,,,,,,,30.2
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08278,0.08140,0.08214,,,,,,,31
31.2,,,,,0.00194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09934,0.04651,0.11071,,,,,,,31.2
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00662,0.01,0.00714,,,,,,,32
32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08444,0.06,0.12857,,,,,,,32.2
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00166,0.01,0.00357,,,,,,,33
33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00357,,,,,,,33.1
33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02649,0.03,0.02143,,,,,,,33.2
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.00357,,,,,,,34
34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00497,,,,,,,,,34.2
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00166,0.02,,,,,,,,35
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,36
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,37
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,38
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,39
